target,outer_fold,inner_fold,config_id,selection_metric,selection_metric_value,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro
GDS_R1,3,1,2,f1_macro,0.3055555555555555,0.3686380862590656,16,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,2,f1_macro,0.5277777777777778,0.44316195962417065,16,0.3,0.001,0.0,32,0.5,relu,0.09921962095875139,0.8461538461538461,0.847682119205298,0.8561872909698997,0.8519134775374376,0.5277777777777778
GDS_R1,3,3,2,f1_macro,0.3054545454545455,0.3557750631534934,16,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,3,f1_macro,0.3055555555555555,0.22976142143084974,64,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,3,f1_macro,0.3055555555555555,0.23550992435346696,64,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,3,f1_macro,0.3054545454545455,0.2500680689030268,64,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,4,f1_macro,0.3055555555555555,0.24248941355015166,32,0.2,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,4,f1_macro,0.3055555555555555,0.2866872919963632,32,0.2,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,4,f1_macro,0.3054545454545455,0.2759577803388487,32,0.2,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,5,f1_macro,0.3055555555555555,0.26074663129084474,32,0.5,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,5,f1_macro,0.3055555555555555,0.31765348388122355,32,0.5,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,5,f1_macro,0.3054545454545455,0.2729448658666483,32,0.5,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,6,f1_macro,0.4427577482605945,0.1692750285218908,32,0.3,0.01,0.0,32,0.5,relu,0.08361204013377926,0.8695652173913043,0.8783783783783784,0.8695652173913043,0.8739495798319328,0.4427577482605945
GDS_R1,3,2,6,f1_macro,0.47354748350953285,0.19901511669658137,32,0.3,0.01,0.0,32,0.5,relu,0.06577480490523968,0.8862876254180602,0.9137931034482759,0.8862876254180602,0.8998302207130731,0.47354748350953285
GDS_R1,3,3,6,f1_macro,0.4611420192349161,0.18560499321656881,32,0.3,0.01,0.0,32,0.5,relu,0.07718120805369127,0.87248322147651,0.8934707903780069,0.87248322147651,0.8828522920203735,0.4611420192349161
GDS_R1,3,1,7,f1_macro,0.3055555555555555,0.28669498883300093,32,0.3,0.001,0.0001,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
