target,outer_fold,example_id,class,mean_probability,std_probability,predicted_label,threshold
GDS_R5,2,0,1,0.02950918860733509,0.029028359800577164,0,0.5
GDS_R5,2,0,2,0.7910366654396057,0.06016658619046211,1,0.5
GDS_R5,2,0,3,0.15451858937740326,0.09009092301130295,0,0.5
GDS_R5,2,1,1,0.19784516096115112,0.043847642838954926,0,0.5
GDS_R5,2,1,2,0.7392329573631287,0.05514786019921303,1,0.5
GDS_R5,2,1,3,0.05149252712726593,0.04461411014199257,0,0.5
GDS_R5,2,2,1,0.20489685237407684,0.05401763319969177,0,0.5
GDS_R5,2,2,2,0.763038694858551,0.05490541830658913,1,0.5
GDS_R5,2,2,3,0.029623383656144142,0.03211088851094246,0,0.5
GDS_R5,2,3,1,0.10281703621149063,0.04344133660197258,0,0.5
GDS_R5,2,3,2,0.7856366634368896,0.05423222854733467,1,0.5
GDS_R5,2,3,3,0.06207536533474922,0.04456358030438423,0,0.5
GDS_R5,2,4,1,0.09540262818336487,0.04696142300963402,0,0.5
GDS_R5,2,4,2,0.7910475134849548,0.05333736911416054,1,0.5
GDS_R5,2,4,3,0.05506002530455589,0.04539581760764122,0,0.5
GDS_R5,3,0,1,0.16929791867733002,0.06480451673269272,0,0.5
GDS_R5,3,0,2,0.7033215165138245,0.04437209293246269,1,0.5
GDS_R5,3,0,3,0.08533815294504166,0.04974675923585892,0,0.5
GDS_R5,3,1,1,0.14792518317699432,0.03842059522867203,0,0.5
GDS_R5,3,1,2,0.7183151245117188,0.042298056185245514,1,0.5
GDS_R5,3,1,3,0.1166824921965599,0.06320011615753174,0,0.5
GDS_R5,3,2,1,0.2714965343475342,0.0373832993209362,0,0.5
GDS_R5,3,2,2,0.658477246761322,0.03926830738782883,1,0.5
GDS_R5,3,2,3,0.07066857069730759,0.04729897528886795,0,0.5
GDS_R5,3,3,1,0.05801551789045334,0.05476251244544983,0,0.5
GDS_R5,3,3,2,0.6723573207855225,0.06760857254266739,1,0.5
GDS_R5,3,3,3,0.2584225535392761,0.10588434338569641,0,0.5
GDS_R5,3,4,1,0.31748801469802856,0.03783941641449928,0,0.5
GDS_R5,3,4,2,0.6828774213790894,0.03575679659843445,1,0.5
GDS_R5,3,4,3,0.0362597294151783,0.04443403333425522,0,0.5
GDS_R5,4,0,1,0.31685951352119446,0.06089372560381889,0,0.5
GDS_R5,4,0,2,0.7535967230796814,0.051229774951934814,1,0.5
GDS_R5,4,0,3,0.012523721903562546,0.015452279709279537,0,0.5
GDS_R5,4,1,1,0.2204890251159668,0.06810735911130905,0,0.5
GDS_R5,4,1,2,0.7597482800483704,0.047678668051958084,1,0.5
GDS_R5,4,1,3,0.03405716270208359,0.03415679186582565,0,0.5
GDS_R5,4,2,1,0.15285778045654297,0.057316236197948456,0,0.5
GDS_R5,4,2,2,0.7656154036521912,0.036632124334573746,1,0.5
GDS_R5,4,2,3,0.054099615663290024,0.032503921538591385,0,0.5
GDS_R5,4,3,1,0.28528517484664917,0.05478852242231369,0,0.5
GDS_R5,4,3,2,0.7534319162368774,0.0439460463821888,1,0.5
GDS_R5,4,3,3,0.023293327540159225,0.03948041424155235,0,0.5
GDS_R5,4,4,1,0.3299729824066162,0.06285527348518372,0,0.5
GDS_R5,4,4,2,0.7339158058166504,0.0545102022588253,1,0.5
GDS_R5,4,4,3,0.019630352035164833,0.045504793524742126,0,0.5
GDS_R5,5,0,1,0.19138988852500916,0.06429214775562286,0,0.5
GDS_R5,5,0,2,0.8115115165710449,0.060413677245378494,1,0.5
GDS_R5,5,0,3,0.020188631489872932,0.018584968522191048,0,0.5
GDS_R5,5,1,1,0.2308657318353653,0.07894609123468399,0,0.5
GDS_R5,5,1,2,0.7806513905525208,0.07586342841386795,1,0.5
GDS_R5,5,1,3,0.01584436371922493,0.0178559347987175,0,0.5
GDS_R5,5,2,1,0.09405659884214401,0.0445341058075428,0,0.5
GDS_R5,5,2,2,0.8499209880828857,0.05017250031232834,1,0.5
GDS_R5,5,2,3,0.02730265073478222,0.025262637063860893,0,0.5
GDS_R5,5,3,1,0.2513325810432434,0.07157593965530396,0,0.5
GDS_R5,5,3,2,0.7543529272079468,0.06862041354179382,1,0.5
GDS_R5,5,3,3,0.016042757779359818,0.01566147431731224,0,0.5
GDS_R5,5,4,1,0.027200227603316307,0.02010381780564785,0,0.5
GDS_R5,5,4,2,0.7799903750419617,0.0647207573056221,1,0.5
GDS_R5,5,4,3,0.19558601081371307,0.1136195957660675,0,0.5
